,,0,h,l,c,,,EMA12,EMA26,DIF,DEA
2014.04.16,22:30,14418,14423,14411,14413,8,,,,,
2014.04.16,23:30,14418,14418,14368,14390,214,,,,,
2014.04.17,0:00,14393,14498,14363,14470,961,,,,,
2014.04.17,1:00,14473,14483,14398,14423,613,,,,,
2014.04.17,2:00,14421,14426,14348,14388,707,,,,,
2014.04.17,3:00,14390,14418,14356,14380,521,,,,,
2014.04.17,4:00,14383,14468,14383,14453,551,,,,,
2014.04.17,5:00,14455,14468,14408,14418,549,,,,,
2014.04.17,6:00,14420,14423,14363,14383,273,,,,,
2014.04.17,7:00,14385,14403,14358,14403,309,,,,,
2014.04.17,8:00,14398,14398,14368,14368,254,,,,,
2014.04.17,9:00,14363,14388,14363,14373,303,,,,,
2014.04.17,10:00,14368,14383,14368,14378,182,,,,,
2014.04.17,11:00,14375,14408,14375,14403,254,,,,,
2014.04.17,12:00,14401,14433,14393,14408,325,,,,,
2014.04.17,13:00,14406,14423,14380,14398,1149,,,,,
2014.04.17,14:00,14418,14433,14388,14428,1605,,,,,
2014.04.17,15:00,14430,14438,14403,14413,496,,,,,
2014.04.17,16:00,14408,14453,14408,14448,422,,,,,
2014.04.17,17:00,14450,14493,14448,14478,316,,,,,
2014.04.17,18:00,14476,14498,14465,14498,169,,,,,
2014.04.17,19:00,14496,14518,14490,14498,135,,,,,
2014.04.20,23:00,14503,14564,14503,14549,101,,,,,
2014.04.21,0:00,14546,14644,14544,14619,561,,,,,
2014.04.21,1:00,14621,14649,14604,14622,328,,,,,
2014.04.21,2:00,14624,14629,14609,14614,183,,,,,
2014.04.21,3:00,14616,14621,14564,14574,166,,,,,
2014.04.21,4:00,14576,14592,14504,14549,265,,,,,
2014.04.21,5:00,14544,14564,14514,14517,213,,,,,
2014.04.21,6:00,14514,14534,14494,14526,162,,,,,
2014.04.21,7:00,14524,14539,14519,14529,49,,,,,
2014.04.21,8:00,14527,14542,14526,14539,19,,,,,
2014.04.21,9:00,14534,14544,14534,14534,15,,,,,
2014.04.21,10:00,14539,14554,14539,14554,6,,,,,
2014.04.21,11:00,14549,14564,14549,14554,20,,,,,
2014.04.21,12:00,14552,14554,14529,14539,102,,,,,
2014.04.21,13:00,14534,14559,14534,14554,210,,,,,
2014.04.21,14:00,14559,14564,14519,14539,328,,,,,
2014.04.21,15:00,14539,14554,14534,14544,173,,,,,
2014.04.21,16:00,14539,14554,14529,14544,197,,,,,
2014.04.21,17:00,14541,14549,14541,14546,122,,,,,
2014.04.21,18:00,14547,14572,14541,14569,93,,,,,
2014.04.21,19:00,14566,14572,14546,14564,111,,,,,
2014.04.21,21:30,14554,14564,14551,14556,28,,,,,
2014.04.21,22:30,14554,14559,14554,14559,16,,,,,
2014.04.21,23:30,14557,14584,14549,14577,91,,,,,
2014.04.22,0:00,14576,14604,14564,14569,572,,,,,
2014.04.22,1:00,14571,14582,14527,14564,366,,,,,
2014.04.22,2:00,14562,14564,14549,14559,246,,,,,
2014.04.22,3:00,14556,14576,14539,14544,231,,,,,
2014.04.22,4:00,14541,14564,14509,14519,306,,,,,
2014.04.22,5:00,14514,14522,14384,14387,787,,,,,
2014.04.22,6:00,14389,14402,14339,14374,348,,,,,
2014.04.22,7:00,14372,14399,14354,14369,426,,,,,
2014.04.22,8:00,14371,14394,14364,14379,194,,,,,
2014.04.22,9:00,14374,14399,14374,14389,164,,,,,
2014.04.22,10:00,14387,14434,14384,14416,259,,,,,
2014.04.22,11:00,14421,14429,14411,14411,204,,,,,
2014.04.22,12:00,14413,14421,14386,14404,246,,,,,
2014.04.22,13:00,14406,14429,14394,14424,530,,,,,
2014.04.22,14:00,14426,14461,14416,14454,703,,,,,
2014.04.22,15:00,14459,14484,14449,14479,343,,,,,
2014.04.22,16:00,14476,14494,14474,14484,144,,,,,
2014.04.22,17:00,14487,14489,14464,14471,180,,,,,
2014.04.22,18:00,14472,14484,14451,14474,159,,,,,
2014.04.22,19:00,14476,14479,14444,14464,143,,,,,
2014.04.22,21:30,14467,14467,14449,14454,41,,,,,
2014.04.22,22:30,14456,14464,14454,14459,47,,,,,
2014.04.22,23:30,14462,14494,14462,14489,115,,,,,
2014.04.23,0:00,14491,14534,14474,14494,606,,,,,
2014.04.23,1:00,14496,14539,14474,14494,570,,,,,
2014.04.23,2:00,14496,14509,14459,14459,479,,,,,
2014.04.23,3:00,14464,14504,14464,14489,228,,,,,
2014.04.23,4:00,14491,14509,14469,14494,395,,,,,
2014.04.23,5:00,14492,14554,14481,14554,441,,,,,
2014.04.23,6:00,14551,14554,14534,14544,242,,,,,
2014.04.23,7:00,14539,14539,14494,14524,299,,,,,
2014.04.23,8:00,14529,14529,14504,14519,191,,,,,
2014.04.23,9:00,14514,14519,14439,14439,230,,,,,
2014.04.23,10:00,14436,14454,14424,14449,220,,,,,
2014.04.23,11:00,14447,14464,14444,14459,79,,,,,
2014.04.23,12:00,14454,14479,14444,14474,143,,,,,
2014.04.23,13:00,14479,14489,14459,14474,545,,,,,
2014.04.23,14:00,14461,14489,14439,14479,726,,,,,
2014.04.23,15:00,14477,14479,14454,14469,488,,,,,
2014.04.23,16:00,14464,14479,14454,14459,169,,,,,
2014.04.23,17:00,14464,14474,14454,14464,224,,,,,
2014.04.23,18:00,14462,14469,14444,14464,201,,,,,
2014.04.23,19:00,14462,14479,14461,14469,253,,,,,
2014.04.23,21:30,14542,14542,14524,14539,31,,,,,
2014.04.23,22:30,14537,14539,14524,14539,20,,,,,
2014.04.23,23:30,14534,14569,14524,14554,92,,,,,
2014.04.24,0:00,14559,14559,14509,14514,527,,,,,
2014.04.24,1:00,14521,14554,14516,14519,292,,,,,
2014.04.24,2:00,14524,14539,14444,14466,438,,,,,
2014.04.24,3:00,14467,14474,14364,14384,731,,,,,
2014.04.24,4:00,14386,14439,14369,14409,504,,,,,
2014.04.24,5:00,14411,14434,14389,14409,431,,,,,
2014.04.24,6:00,14412,14444,14394,14434,245,,,,,
2014.04.24,7:00,14436,14459,14429,14454,318,,,,,
2014.04.24,8:00,14459,14469,14434,14439,101,,,,,
2014.04.24,9:00,14442,14454,14439,14449,63,,,,,
2014.04.24,10:00,14444,14459,14434,14439,167,,,,,
2014.04.24,11:00,14444,14444,14409,14419,216,,,,,
2014.04.24,12:00,14424,14469,14419,14439,395,,,,,
2014.04.24,13:00,14441,14444,14306,14329,1184,,,,,
2014.04.24,14:00,14324,14348,14264,14329,1646,,,,,
2014.04.24,15:00,14326,14384,14319,14364,536,,,,,
2014.04.24,16:00,14366,14374,14344,14364,263,,,,,
2014.04.24,17:00,14367,14369,14326,14334,364,,,,,
2014.04.24,18:00,14339,14379,14334,14379,381,,,,,
2014.04.24,19:00,14384,14407,14384,14404,222,,,,,
2014.04.24,20:00,14404,14404,14404,14404,1,,,,,
2014.04.24,21:30,14412,14419,14399,14409,20,,,,,
2014.04.24,22:30,14404,14406,14364,14376,56,,,,,
2014.04.24,23:30,14379,14409,14369,14377,218,,,,,
2014.04.25,0:00,14376,14449,14321,14439,708,,,,,
2014.04.25,1:00,14442,14564,14441,14487,929,,,,,
2014.04.25,2:00,14482,14519,14474,14509,364,,,,,
2014.04.25,3:00,14507,14509,14412,14439,403,,,,,
2014.04.25,4:00,14442,14454,14374,14376,461,,,,,
2014.04.25,5:00,14377,14439,14366,14437,564,,,,,
2014.04.25,6:00,14429,14459,14424,14426,319,,,,,
2014.04.25,7:00,14431,14446,14381,14406,317,,,,,
2014.04.25,8:00,14406,14413,14348,14373,363,,,,,
2014.04.25,9:00,14375,14383,14353,14363,217,,,,,
2014.04.25,10:00,14358,14373,14315,14318,337,,,,,
2014.04.25,11:00,14315,14349,14315,14349,311,,,,,
2014.04.25,12:00,14347,14349,14319,14344,230,,,,,
2014.04.25,13:00,14339,14349,14315,14323,958,,,,,
2014.04.25,14:00,14325,14358,14286,14296,1269,,,,,
2014.04.25,15:00,14291,14316,14266,14311,688,,,,,
2014.04.25,16:00,14316,14321,14291,14301,355,,,,,
2014.04.25,17:00,14296,14301,14276,14286,273,,,,,
2014.04.25,18:00,14284,14293,14257,14283,305,,,,,
2014.04.25,19:00,14285,14316,14283,14306,263,,,,,
2014.04.25,20:00,14311,14311,14311,14311,1,,,,,
2014.04.29,15:00,14449,14452,14399,14434,389,,,,,
2014.04.29,16:00,14431,14479,14424,14469,192,,,,,
2014.04.29,17:00,14464,14479,14444,14469,147,,,,,
2014.04.29,18:00,14474,14479,14461,14469,61,,,,,
2014.04.29,19:00,14471,14474,14440,14450,178,,,,,
2014.04.29,21:30,14440,14445,14425,14445,34,,,,,
2014.04.29,22:30,14443,14445,14435,14435,27,,,,,
2014.04.29,23:30,14430,14435,14420,14420,97,,,,,
2014.04.30,0:00,14415,14425,14370,14380,637,,,,,
2014.04.30,1:00,14382,14405,14365,14380,390,,,,,
2014.04.30,2:00,14378,14380,14285,14308,511,,,,,
2014.04.30,3:00,14310,14378,14285,14306,542,,,,,
2014.04.30,4:00,14304,14346,14270,14326,613,,,,,
2014.04.30,5:00,14331,14336,14281,14296,516,,,,,
2014.04.30,6:00,14301,14319,14201,14251,377,,,,,
2014.04.30,7:00,14253,14301,14253,14293,268,,,,,
2014.04.30,8:00,14288,14293,14273,14283,230,,,,,
2014.04.30,9:00,14286,14303,14283,14303,264,,,,,
2014.04.30,10:00,14298,14303,14283,14288,162,,,,,
2014.04.30,11:00,14283,14293,14283,14288,263,,,,,
2014.04.30,12:00,14286,14313,14233,14253,609,,,,,
2014.04.30,13:00,14248,14291,14233,14260,1032,,,,,
2014.04.30,14:00,14263,14300,14248,14268,882,,,,,
2014.04.30,15:00,14273,14278,14233,14268,335,,,,,
2014.04.30,16:00,14270,14273,14253,14263,113,,,,,
2014.04.30,17:00,14268,14273,14248,14253,181,,,,,
2014.04.30,18:00,14253,14326,14243,14308,895,,,,,
2014.04.30,19:00,14310,14316,14273,14298,394,,,,,
2014.04.30,21:30,14288,14303,14278,14303,38,,,,,
2014.04.30,22:30,14298,14303,14293,14298,68,,,,,
2014.04.30,23:30,14296,14348,14293,14343,101,,,,,
2014.05.01,0:00,14341,14443,14340,14413,670,,,,,
2014.05.01,1:00,14411,14411,14348,14363,389,,,,,
2014.05.01,2:00,14368,14423,14363,14413,284,,,,,
2014.05.01,3:00,14411,14493,14410,14463,378,,,,,
2014.05.01,4:00,14458,14471,14423,14445,364,,,,,
2014.05.01,5:00,14448,14483,14443,14473,364,,,,,
2014.05.01,6:00,14475,14483,14463,14473,276,,,,,
2014.05.01,7:00,14471,14478,14457,14472,74,,,,,
2014.05.01,8:00,14470,14472,14457,14457,37,,,,,
2014.05.01,9:00,14459,14467,14452,14467,53,,,,,
2014.05.01,10:00,14472,14472,14462,14465,49,,,,,
2014.05.01,11:00,14462,14467,14447,14452,127,,,,,
2014.05.01,12:00,14454,14462,14447,14462,81,,,,,
2014.05.01,13:00,14460,14467,14437,14437,254,,,,,
2014.05.01,14:00,14442,14462,14402,14452,516,,,,,
2014.05.01,15:00,14457,14467,14439,14447,296,,,,,
2014.05.01,16:00,14442,14457,14442,14452,191,,,,,
2014.05.01,17:00,14454,14457,14429,14437,212,,,,,
2014.05.01,18:00,14440,14457,14429,14447,171,,,,,
2014.05.01,19:00,14450,14457,14427,14442,126,,,,,
2014.05.01,21:30,14470,14490,14457,14472,65,,,,,
2014.05.01,22:30,14470,14477,14462,14462,78,,,,,
2014.05.01,23:30,14457,14462,14422,14437,109,,,,,
2014.05.02,0:00,14442,14462,14407,14457,705,,,,,
2014.05.02,1:00,14452,14457,14427,14442,277,,,,,
2014.05.02,2:00,14447,14457,14427,14432,187,,,,,
2014.05.02,3:00,14427,14447,14417,14417,232,,,,,
2014.05.02,4:00,14412,14432,14407,14432,298,,,,,
2014.05.02,5:00,14430,14467,14427,14452,357,,,,,
2014.05.02,6:00,14449,14502,14445,14477,186,,,,,
2014.05.02,7:00,14482,14482,14462,14472,143,,,,,
2014.05.02,8:00,14467,14472,14457,14462,57,,,,,
2014.05.02,9:00,14457,14467,14457,14462,72,,,,,
2014.05.02,10:00,14467,14477,14462,14467,129,,,,,
2014.05.02,11:00,14462,14469,14457,14467,9,,,,,
2014.05.02,12:00,14469,14567,14457,14507,1026,,,,,
2014.05.02,13:00,14507,14547,14502,14522,1258,,,,,
2014.05.02,14:00,14519,14542,14412,14432,1412,,,,,
2014.05.02,15:00,14429,14457,14378,14413,1259,,,,,
2014.05.02,16:00,14415,14416,14388,14398,426,,,,,
2014.05.02,17:00,14403,14403,14358,14368,322,,,,,
2014.05.02,18:00,14373,14381,14343,14368,358,,,,,
2014.05.02,19:00,14370,14388,14358,14376,196,,,,,
2014.05.05,1:00,14384,14396,14374,14396,29,,,,,
2014.05.05,2:00,14401,14401,14333,14338,130,,,,,
2014.05.05,3:00,14343,14343,14283,14293,83,,,,,
2014.05.05,4:00,14295,14303,14258,14278,115,,,,,
2014.05.05,5:00,14280,14283,14268,14278,48,,,,,
2014.05.05,6:00,14273,14323,14268,14313,32,,,,,
2014.05.05,7:00,14318,14318,14303,14318,24,,,,,
2014.05.05,8:00,14323,14328,14313,14318,35,,,,,
2014.05.05,9:00,14316,14358,14313,14358,49,,,,,
2014.05.05,10:00,14353,14373,14353,14363,40,,,,,
2014.05.05,11:00,14361,14368,14293,14303,126,,,,,
2014.05.05,12:00,14298,14298,14268,14288,112,,,,,
2014.05.05,13:00,14290,14318,14288,14313,95,,,,,
2014.05.05,14:00,14308,14313,14293,14303,57,,,,,
2014.05.05,15:00,14300,14303,14278,14295,79,,,,,
2014.05.05,16:00,14296,14318,14268,14318,559,,,,,
2014.05.05,17:00,14316,14358,14308,14346,533,,,,,
2014.05.05,18:00,14343,14348,14323,14331,373,,,,,
2014.05.05,19:00,14330,14338,14318,14328,180,,,,,
2014.05.05,20:00,14330,14338,14328,14336,144,,,,,
2014.05.05,21:00,14338,14378,14338,14363,180,,,,,
2014.05.05,22:30,14368,14368,14343,14348,24,,,,,
2014.05.06,1:00,14341,14353,14338,14341,71,,,,,
2014.05.06,2:00,14338,14348,14318,14343,49,,,,,
2014.05.06,3:00,14341,14348,14338,14348,22,,,,,
2014.05.06,5:00,14343,14343,14330,14333,53,,,,,
2014.05.06,6:00,14330,14333,14313,14318,37,,,,,
2014.05.06,7:00,14316,14316,14295,14308,51,,,,,
2014.05.06,8:00,14310,14323,14303,14308,35,,,,,
2014.05.06,9:00,14310,14340,14310,14335,97,,,,,
2014.05.06,10:00,14340,14350,14325,14345,229,,,,,
2014.05.06,11:00,14343,14345,14320,14335,144,,,,,
2014.05.06,12:00,14337,14345,14335,14338,130,,,,,
2014.05.06,13:00,14340,14343,14322,14322,104,,,,,
2014.05.06,14:00,14320,14325,14290,14315,270,,,,,
2014.05.06,15:00,14313,14315,14240,14258,269,,,,,
2014.05.06,16:00,14256,14273,14215,14228,745,,,,,
2014.05.06,17:00,14226,14248,14178,14203,747,,,,,
2014.05.06,18:00,14205,14253,14203,14250,452,,,,,
2014.05.06,19:00,14251,14253,14223,14228,275,,,,,
2014.05.06,20:00,14226,14233,14193,14195,281,,,,,
2014.05.06,21:00,14193,14242,14188,14232,518,,,,,
2014.05.06,22:30,14230,14237,14215,14220,91,,,,,
2014.05.07,1:00,14250,14258,14238,14245,74,,,,,
2014.05.07,2:00,14243,14270,14233,14270,106,,,,,
2014.05.07,3:00,14275,14280,14165,14196,836,,,,,
2014.05.07,4:00,14201,14206,14115,14130,467,,,,,
2014.05.07,5:00,14132,14145,14100,14110,435,,,,,
2014.05.07,6:00,14105,14140,14095,14118,330,,,,,
2014.05.07,7:00,14110,14127,14080,14095,454,,,,,
2014.05.07,8:00,14093,14100,14050,14055,620,,,,,
2014.05.07,9:00,14053,14098,14025,14093,403,,,,,
2014.05.07,10:00,14098,14113,14073,14103,269,,,,,
2014.05.07,11:00,14098,14098,14083,14098,164,,,,,
2014.05.07,12:00,14093,14103,14083,14083,210,,,,,
2014.05.07,13:00,14085,14088,14078,14088,63,,,,,
2014.05.07,14:00,14093,14133,14093,14108,187,,,,,
2014.05.07,15:00,14113,14151,14108,14138,216,,,,,
2014.05.07,16:00,14140,14163,14108,14128,901,,,,,
2014.05.07,17:00,14126,14143,14043,14103,1629,,,,,
2014.05.07,18:00,14105,14143,14073,14128,801,,,,,
2014.05.07,19:00,14130,14133,14103,14108,287,,,,,
2014.05.07,20:00,14106,14143,14103,14118,464,,,,,
2014.05.07,21:00,14123,14166,14116,14151,284,,,,,
2014.05.07,22:30,14153,14193,14153,14188,139,,,,,
2014.05.08,1:00,14186,14193,14171,14178,58,,,,,
2014.05.08,2:00,14181,14198,14148,14148,106,,,,,
2014.05.08,3:00,14150,14178,14103,14165,664,,,,,
2014.05.08,4:00,14166,14178,14143,14158,433,,,,,
2014.05.08,5:00,14155,14228,14143,14223,524,,,,,
2014.05.08,6:00,14221,14256,14208,14218,648,,,,,
2014.05.08,7:00,14220,14228,14198,14208,74,,,,,
2014.06.19,6:00,15362,15380,15360,15377,24,,,,,
2014.06.19,7:00,15375,15375,15335,15365,270,,,,,
2014.06.19,8:00,15347,15363,15305,15356,351,,,,,
2014.06.19,9:00,15351,15358,15301,15311,207,,,,,
2014.06.19,10:00,15308,15336,15296,15321,143,,,,,
2014.06.19,11:00,15323,15331,15316,15316,63,,,,,
2014.06.19,12:00,15321,15338,15318,15331,81,,,,,
2014.06.19,13:00,15336,15341,15328,15331,40,,,,,
2014.06.19,14:00,15332,15343,15332,15343,9,,,,,
2014.06.19,15:00,15348,15363,15343,15358,75,,,,,
2014.06.19,16:00,15363,15378,15358,15368,230,,,,,
2014.06.19,17:00,15373,15378,15348,15358,315,,,,,
2014.06.19,18:00,15353,15373,15353,15373,93,,,,,
2014.06.19,19:00,15378,15383,15348,15353,84,,,,,
2014.06.19,20:00,15358,15373,15358,15358,173,,,,,
2014.06.19,21:00,15363,15398,15358,15393,176,,,,,
2014.06.19,22:30,15395,15403,15377,15377,37,,,,,
2014.06.19,23:30,15382,15382,15377,15382,5,,,,,
2014.06.20,0:00,15377,15377,15372,15377,3,,,,,
2014.06.20,1:00,15379,15385,15363,15363,32,,,,,
2014.06.20,2:00,15368,15368,15348,15350,30,,,,,
2014.06.20,3:00,15353,15390,15328,15373,393,,,,,
2014.06.20,4:00,15375,15390,15363,15388,208,,,,,
2014.06.20,5:00,15393,15444,15393,15434,230,,,,,
2014.06.20,6:00,15431,15439,15374,15379,138,,,,,
2014.06.20,7:00,15379,15394,15349,15359,209,,,,,
2014.06.20,8:00,15361,15389,15297,15349,349,,,,,
2014.06.20,9:00,15344,15399,15339,15366,234,,,,,
2014.06.20,10:00,15368,15416,15366,15416,126,,,,,
2014.06.20,11:00,15411,15441,15406,15436,60,,,,,
2014.06.20,12:00,15438,15451,15426,15451,99,,,,,
2014.06.20,13:00,15446,15476,15441,15456,195,,,,,
2014.06.20,14:00,15453,15461,15450,15450,63,,,,,
2014.06.20,15:00,15455,15481,15450,15476,110,,,,,
2014.06.20,16:00,15473,15486,15461,15476,189,,,,,
2014.06.20,17:00,15471,15481,15456,15466,137,,,,,
2014.06.20,18:00,15471,15481,15446,15456,193,,,,,
2014.06.20,19:00,15453,15461,15441,15456,93,,,,,
2014.06.20,20:00,15451,15466,15451,15453,50,,,,,
2014.06.20,21:00,15456,15456,15446,15451,14,,,,,
2014.06.22,23:00,15437,15437,15437,15437,1,,,,,
2014.06.23,0:00,15415,15437,15415,15437,5,,,,,
2014.06.23,1:00,15447,15450,15436,15443,25,,,,,
2014.06.23,2:00,15441,15446,15416,15421,73,,,,,
2014.06.23,3:00,15426,15441,15371,15406,379,,,,,
2014.06.23,4:00,15401,15443,15386,15406,286,,,,,
2014.06.23,5:00,15403,15421,15396,15411,212,,,,,
2014.06.23,6:00,15416,15416,15351,15356,149,,,,,
2014.06.23,7:00,15361,15381,15336,15363,232,,,,,
2014.06.23,8:00,15366,15381,15346,15361,230,,,,,
2014.06.23,9:00,15358,15376,15341,15346,182,,,,,
2014.06.23,10:00,15343,15346,15276,15316,220,,,,,
2014.06.23,11:00,15311,15311,15276,15296,55,,,,,
2014.06.23,12:00,15301,15336,15301,15326,82,,,,,
2014.06.23,13:00,15321,15326,15301,15306,39,,,,,
2014.06.23,14:00,15311,15321,15301,15306,74,,,,,
2014.06.23,15:00,15301,15326,15301,15306,60,,,,,
2014.06.23,16:00,15308,15316,15276,15291,146,,,,,
2014.06.23,17:00,15296,15306,15286,15296,251,,,,,
2014.06.23,18:00,15291,15296,15279,15291,95,,,,,
2014.06.23,19:00,15296,15311,15296,15311,48,,,,,
2014.06.23,20:00,15306,15311,15296,15311,56,,,,,
2014.06.23,21:00,15308,15331,15301,15316,110,,,,,
2014.06.23,22:30,15321,15346,15321,15324,32,,,,,
2014.06.23,23:30,15327,15327,15322,15322,3,,,,,
2014.06.24,0:00,15317,15319,15302,15309,14,,,,,
2014.06.24,1:00,15307,15311,15291,15311,17,,,,,
2014.06.24,2:00,15313,15318,15286,15306,58,,,,,
2014.06.24,3:00,15301,15316,15251,15296,357,,,,,
2014.06.24,4:00,15291,15301,15266,15296,158,,,,,
2014.06.24,5:00,15298,15356,15296,15346,167,,,,,
2014.06.24,6:00,15341,15406,15331,15381,171,,,,,
2014.06.24,7:00,15386,15431,15386,15401,217,,,,,
2014.06.24,8:00,15398,15413,15376,15378,245,,,,,
2014.06.24,9:00,15376,15426,15376,15416,209,,,,,
2014.06.24,10:00,15423,15441,15411,15418,149,,,,,
2014.06.24,11:00,15421,15426,15386,15411,86,,,,,
2014.06.24,12:00,15413,15416,15326,15341,175,,,,,
2014.06.24,13:00,15346,15366,15346,15361,33,,,,,
2014.06.24,14:00,15366,15371,15361,15366,30,,,,,
2014.06.24,15:00,15371,15391,15371,15386,44,,,,,
2014.06.24,16:00,15381,15391,15366,15366,148,,,,,
2014.06.24,17:00,15376,15461,15376,15456,250,,,,,
2014.06.24,18:00,15461,15476,15456,15461,84,,,,,
2014.06.24,19:00,15466,15481,15446,15446,63,,,,,
2014.06.24,20:00,15441,15441,15386,15396,157,,,,,
2014.06.24,21:00,15393,15401,15311,15313,257,,,,,
2014.06.24,22:30,15316,15351,15301,15317,161,,,,,
2014.06.24,23:30,15315,15315,15284,15297,20,,,,,
2014.06.25,0:00,15307,15307,15294,15294,5,,,,,
2014.06.25,1:00,15304,15321,15296,15296,36,,,,,
2014.06.25,2:00,15301,15311,15286,15301,113,,,,,
2014.06.25,3:00,15301,15351,15281,15301,584,,,,,
2014.06.25,4:00,15303,15346,15271,15321,280,,,,,
2014.06.25,5:00,15318,15336,15303,15311,143,,,,,
2014.06.25,6:00,15316,15321,15276,15296,155,,,,,
2014.06.25,7:00,15298,15306,15281,15298,182,,,,,
2014.06.25,8:00,15296,15298,15271,15271,226,,,,,
2014.06.25,9:00,15273,15296,15261,15291,162,,,,,
2014.06.25,10:00,15288,15301,15268,15296,131,,,,,
2014.06.25,11:00,15298,15326,15296,15316,98,,,,,
2014.06.25,12:00,15311,15316,15306,15311,43,,,,,
2014.06.25,13:00,15313,15326,15301,15321,80,,,,,
2014.06.25,14:00,15316,15321,15306,15311,28,,,,,
2014.06.25,15:00,15306,15313,15221,15246,446,,,,,
2014.06.25,16:00,15241,15288,15221,15278,435,,,,,
2014.06.25,17:00,15283,15330,15274,15328,322,,,,,
2014.06.25,18:00,15323,15328,15298,15308,128,,,,,
2014.06.25,19:00,15313,15318,15303,15303,66,,,,,
2014.06.25,20:00,15308,15343,15308,15338,96,,,,,
2014.06.25,21:00,15333,15360,15333,15358,89,,,,,
2014.06.25,22:30,15360,15383,15335,15340,87,,,,,
2014.06.25,23:30,15335,15345,15332,15335,9,,,,,
2014.06.26,0:00,15330,15330,15285,15320,11,,,,,
2014.06.26,1:00,15326,15341,15306,15341,54,,,,,
2014.06.26,2:00,15338,15341,15316,15321,64,,,,,
2014.06.26,3:00,15326,15346,15276,15286,393,,,,,
2014.06.26,4:00,15281,15326,15281,15321,171,,,,,
2014.06.26,5:00,15323,15336,15311,15316,175,,,,,
2014.06.26,6:00,15313,15316,15281,15291,173,,,,,
2014.06.26,7:00,15293,15316,15283,15316,198,,,,,
2014.06.26,8:00,15318,15336,15296,15303,216,,,,,
2014.06.26,9:00,15306,15326,15301,15306,155,,,,,
2014.06.26,10:00,15301,15316,15291,15306,72,,,,,
2014.06.26,11:00,15301,15311,15291,15301,82,,,,,
2014.06.26,12:00,15298,15301,15281,15291,51,,,,,
2014.06.26,13:00,15288,15301,15266,15271,43,,,,,
2014.06.26,14:00,15276,15301,15266,15301,46,,,,,
2014.06.26,15:00,15298,15306,15271,15286,131,,,,,
2014.06.26,16:00,15281,15316,15211,15232,394,,,,,
2014.06.26,17:00,15231,15276,15221,15266,597,,,,,
2014.06.26,18:00,15271,15291,15261,15291,268,,,,,
2014.06.26,19:00,15286,15291,15261,15261,99,,,,,
2014.06.26,20:00,15271,15316,15271,15306,110,,,,,
2014.06.26,21:00,15303,15318,15301,15311,82,,,,,
2014.06.26,22:30,15316,15316,15296,15302,56,,,,,
2014.06.26,23:30,15307,15311,15302,15308,10,,,,,
2014.06.27,0:00,15307,15309,15302,15304,7,,,,,
2014.06.27,1:00,15309,15311,15296,15306,18,,,,,
2014.06.27,2:00,15306,15306,15281,15291,50,,,,,
2014.06.27,3:00,15293,15296,15256,15266,352,,,,,
2014.06.27,4:00,15261,15276,15251,15256,273,,,,,
2014.06.27,5:00,15251,15256,15128,15156,383,,,,,
2014.06.27,6:00,15153,15161,15041,15046,607,,,,,
2014.06.27,7:00,15041,15136,15018,15126,418,,,,,
2014.06.27,8:00,15121,15126,15041,15083,441,,,,,
2014.06.27,9:00,15086,15126,15076,15086,239,,,,,
2014.06.27,10:00,15083,15131,15071,15126,119,,,,,
2014.06.27,11:00,15131,15131,15101,15121,60,,,,,
2014.06.27,12:00,15116,15116,15091,15101,73,,,,,
2014.06.27,13:00,15106,15106,15081,15096,43,,,,,
2014.06.27,14:00,15091,15101,15086,15096,105,,,,,
2014.06.27,15:00,15101,15106,15096,15106,73,,,,,
2014.06.27,16:00,15101,15116,15101,15106,248,,,,,
2014.06.27,17:00,15108,15116,15086,15106,213,,,,,
2014.06.27,18:00,15103,15116,15091,15111,125,,,,,
2014.06.27,19:00,15113,15118,15101,15101,21,,,,,
2014.06.27,20:00,15111,15113,15096,15106,92,,,,,
2014.06.27,21:00,15103,15116,15101,15106,19,,,,,
2014.06.29,23:00,15124,15124,15124,15124,1,,,,,
2014.06.30,0:00,15127,15127,15117,15127,3,,,,,
2014.06.30,1:00,15122,15146,15093,15136,46,,,,,
2014.06.30,2:00,15138,15161,15136,15151,49,,,,,
2014.06.30,3:00,15156,15181,15101,15126,407,,,,,
2014.06.30,4:00,15131,15136,15048,15061,428,,,,,
2014.06.30,5:00,15056,15096,15046,15071,295,,,,,
2014.06.30,6:00,15068,15121,15066,15106,216,,,,,
2014.06.30,7:00,15111,15146,15111,15136,280,,,,,
2014.06.30,8:00,15131,15156,15111,15153,316,,,,,
2014.06.30,9:00,15151,15176,15131,15141,182,,,,,
2014.06.30,10:00,15143,15171,15136,15166,99,,,,,
2014.06.30,11:00,15161,15161,15136,15141,60,,,,,
2014.06.30,12:00,15146,15146,15136,15141,52,,,,,
2014.06.30,13:00,15151,15166,15136,15136,63,,,,,
2014.06.30,14:00,15131,15146,15126,15141,38,,,,,
2014.06.30,15:00,15146,15161,15146,15146,33,,,,,
2014.06.30,16:00,15151,15166,15136,15166,114,,,,,
2014.06.30,17:00,15171,15191,15151,15156,269,,,,,
2014.06.30,18:00,15153,15176,15141,15156,138,,,,,
2014.06.30,19:00,15151,15161,15151,15156,62,,,,,
2014.06.30,20:00,15161,15166,15151,15163,40,,,,,
2014.06.30,21:00,15166,15181,15156,15173,100,,,,,
